Final Event Number,Date & Time Reported,Date and Time Occurred,Log Type,category,Location,State,Status,Remarks
2012-0007471,5/31/12,5/31/2012  5:44:00PM,ASSAULT REPORT,Violence,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officer dispatched to a report of an individual was reportedly struck with an object. Officer arrived and searched the area for the reporting party with negative results.
2012-0007475,5/31/12,2/28/2012 To 5/31/201210:20:00PM To 10:20:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,HUPD HQ 1033-6 MASSACHUSETTS AVE,MA,CLOSED,Officer dispatched to take a report of suspicious activity involving a web site.
2012-0007491,6/1/12,6/1/2012 10:21:00AM,FIELD INTERVIEW,Other, 1 BENNETT ST,MA,CLOSED,Officer observed an individual driving erratically. Officer stopped the motor vehicle and a field interview was conducted. The individual was run for wants/warrants with negative results. Officers poke to the individual about driving more cautiously and sent them on their way.
2012-0007493,6/1/12,6/1/2012 10:30:00AM,ASSIST CAMBRIDGE POLICE,Other, 101 PLYMPTON ST,MA,CLOSED,Officer assisted CPD with a motor vehicle that needed to be towed from the area.
2012-0007494,6/1/12,6/1/2012 10:39:00AM,FIELD INTERVIEW,Other,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,"Officers dispatched to a report of an individual acting suspiciously in the building. Officers arrived and located the individual who began rambling about various events. A field interview was conducted and the individual was run for wants/warrants with negative  results. Officers issued the individual a trespass warning for all Harvard University property and sent them on their way.
Update 3/20/14: Upon further review the individual was not issued a trespass warning. This incident has been reclassified from a trespass warning to a field interview."
2012-0007497,6/1/12,6/1/2012 11:30:00AM,TRESPASS WARNING,Suspicious activity,90 SMITH ST ,MA,CLOSED,Officers observed an individual urinating in the area. Officers conducted a field interview and the individual was run for wants/warrants with negative results and sent on their way with a trespass warning for all Harvard University property.
2012-0007500,6/1/12,6/1/2012  1:08:00PM,DISTURBANCE,Disturbance,LONGWOOD LOT 200 LONGWOOD AVE,MA,CLOSED,Officers report an individual causing a disturbance. Officers spoke to the individual and report all is in order.
2012-0007506,6/1/12,6/1/2012  2:00:00PM,THEFT REPORT,Theft,LAMONT LIBRARY 11 QUINCY ST,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured identification card.
2012-0007507,6/1/12,6/1/2012  4:10:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,COUNTWAY LIBRARY 10 SHATTUCK ST,MA,CLOSED,Officer dispatched to a report that an individual had removed a plant from the building. Officer arrived and located the individual. Officer reports the individual had authorization to remove the plant and all was in order.
2012-0007509,6/1/12,6/1/2012  5:32:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,BAUER LIFE SCIENCES BUILDING 12 OXFORD ST,MA,CLOSED,Officer dispatched to a report of a bag with hypodermic needles in the area. Officer arrived and spoke to the reporting party who stated the bag was found in the hazardous waste bin outside of the lab. Officer reports the bag was disposed of.
2012-0007511,6/1/12,6/1/2012  7:43:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,QUINCY HOUSE - NEW 3 DEWOLFE ST,MA,CLOSED,Officers dispatched to a report of three individuals attempting to gain access into the building. Officers arrived and searched the area for the individuals with negative results.
2012-0007513,6/1/12,6/1/2012  4:30:00PM To  9:40:00PM,LOST PROPERTY,Theft,CGIS - NORTH 1729 CAMBRIDGE ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured brown wallet that contained identification cards and $750.00 cash.
Update 6/19/12: The reporting individual informed the officer their items were located at the Supermarket they went to before work. This incident was reclassified from a theft report to lost property and is closed pending any further information."
2012-0007514,6/1/12,6/1/2012 11:16:00PM,REMOVE GROUP,Other,SPH SCHOOL OF PUBLIC HEALTH 3 677 HUNTINGTON AVE,MA,CLOSED,Officers dispatched to a report of a group of individuals roller-blading in the area. Officers arrived and sent the individuals on their way.
2012-0007519,6/2/12,6/2/2012  3:17:00AM,LOUD PARTY,Noise,LEVERETT HOUSE TOWERS F 44 DEWOLFE ST,MA,CLOSED,"Officers dispatched to a report of a loud party. Officers arrived and told the occupants of rooms F-100, F-102 and F-104 to turn the music off."
2012-0007537,6/2/12,6/2/2012  3:52:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,MAC MALKIN ATHLETIC CENTER 39 HOLYOKE ST,MA,CLOSED,Officer dispatched to a report that individuals were inside of a building that was supposed to be empty.  Officer arrived and sent the individuals on their way. Officer reports Operation was notified and will respond to secure the building.
2012-0007539,6/2/12,6/1/2012  1:15:00PM,THEFT REPORT,Theft,SHAD HALL 70 N HARVARD ST,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured backpack valued at $50.00 that contained a black Apple iPad valued at $600.00 and a towel valued at $20.00. Officer reports the backpack was recovered at another location and both items were still missing.
2012-0007540,6/2/12,6/2/2012 10:52:00PM,TRESPASS WARNING,Suspicious activity,WILLIAM JAMES HALL 33 KIRKLAND ST,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and located the individual. A field interview was conducted and the individual was run for want/warrants with negative results and sent on their way with a trespass warning for all Harvard University property.
2012-0007552,6/3/12,6/2/2012 To 6/3/201212:00:00PM To  9:50:00AM,MOTOR VEHICLE THEFT,Theft, 966 MEMORIAL DR,MA,CLOSED,"Officer dispatched to take a report of a stolen Mercedes SL5 motor vehicle valued at $40,000.00.
Update 7/10/12: The vehicle was recovered by the Boston PD on North Harvard Street and Etonia Street. This incident is closed pending any further information."
2012-0007556,6/3/12,6/3/2012  5:33:00PM,THEFT REPORT,Theft,PERKINS HALL 35 OXFORD ST,MA,CLOSED,Officer dispatched to take a report of a stolen blue and silver Trek Zebrand mountain bicycle valued at $800.00 and a cable  bicycle lock valued at $20.00. There were no suspicious individuals seen in the area at the time of the theft.
2012-0007570,6/4/12,6/4/2012  8:52:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,WILLIAM JAMES HALL 33 KIRKLAND ST,MA,CLOSED,Officers dispatched to a report of individuals acting suspiciously near the bicycle rack. Officers arrived and report the individuals were affiliated and had authorization to be there.
2012-0007578,6/4/12,5/31/2012 10:00:00AM To  1:00:00PM,THEFT REPORT,Theft,COMMUNITY GARDEN HOLYOKE PL / MT AUBURN ST,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured black Timberland wallet valued at $30.00 that contained identification cards and $20.00 cash.
2012-0007584,6/4/12,6/4/2012 12:36:00PM,REMOVE GROUP,Other, 34 KIRKLAND ST,MA,CLOSED,Officers dispatched to a report of a large group of individuals in the area. Officers arrived and report the individuals left the area prior to the officers arrival.
2012-0007585,6/4/12,6/4/2012  1:31:00PM,DISTURBANCE,Disturbance,ARMENISE BUILDING 1 210-1 LONGWOOD AVE,MA,CLOSED,Officers dispatched to a report of individuals causing a disturbance. Officers arrived and searched the area for the individuals with negative results.
2012-0007586,6/4/12,6/2/2012 To 6/4/201212:00:00PM To 11:30:00AM,THEFT REPORT,Theft,SFP SOLDIERS FIELD PARK 06 111 WESTERN AVE,MA,CLOSED,Officer dispatched to take a report of a stolen unattended and unsecured mail package that contained a black leather iPad case valued at $85.00.
2012-0007588,6/4/12,5/23/2012 To 6/1/2012 4:00:00PM To  8:00:00AM,THEFT REPORT,Theft,ELIOT HOUSE A 101 DUNSTER ST,MA,CLOSED,Officer dispatched to take a report of $840.00 cash that was stolen.
2012-0007591,6/4/12,6/4/2012  6:00:00PM To  6:15:00PM,ASSAULT REPORT,Violence,LEHMAN HALL 8 HARVARD YARD,MA,CLOSED,"Officer dispatched to take a report of an assault.
UPDATE: Upon further investigation this case is closed."
2012-0007597,6/5/12,6/5/2012 12:54:00AM,SUSPICIOUS ACTIVITY,Suspicious activity,LEVERETT HOUSE TOWERS G 44 DEWOLFE ST,MA,CLOSED,Officers dispatched to a report of a suspicious individual who piggybacked into the building. Officers searched the area for the individual with negative results.
2012-0007610,6/5/12,6/1/2012 To 6/4/2012 5:00:00PM To 11:00:00AM,THEFT REPORT,Theft,HIM HMS 77 AVE LOUIS PASTEUR,MA,CLOSED,Officer dispatched to take a report of a stolen Apple iPhone charger valued at $40.00.
2012-0007614,6/5/12,6/5/2012 10:42:00AM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER 1350 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of an individual sleeping on a bench. Officers arrived and sent the individual on their way.
2012-0007615,6/5/12,6/5/2012 10:54:00AM,FIELD INTERVIEW,Other,COUNTWAY LIBRARY 10 SHATTUCK ST,MA,CLOSED,Officers dispatched to a report of an individual being disruptive. Officers arrived and conducted a field interview with the individual. The individual was instructed to stop being disruptive and was sent on their way.
2012-0007616,6/5/12,6/5/2012 11:00:00AM,FIELD INTERVIEW,Other,SCIENCE CENTER 1 OXFORD ST,MA,CLOSED,Officer reports conducting a field interview with an individual cutting through a construction site. The individual was advised not to cut through the construction site and sent on their way.
2012-0007619,6/5/12,5/24/2012  7:00:00PM To  9:00:00PM,THEFT REPORT,Theft,FACULTY CLUB 20 QUINCY ST,MA,CLOSED,"Officer dispatched to take a report of a stolen white Karen Millen coat. The value of the coat is unknown at this time.
UPDATE 6/26/12: The individual reported the coat to be valued at $943.00. Pending any further information this case is closed."
2012-0007620,6/5/12,6/5/2012 12:42:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,1 WESTERN AVENUE ,MA,CLOSED,Officers dispatched to a report of a suspicious individual enter the building pushing a cart full of luggage. Officers searched the area for the individual with negative results.
2012-0007622,6/5/12,6/5/2012  1:36:00PM,UNWANTED GUEST,Suspicious activity,HOLYOKE CENTER PHARMACY 75 MT AUBURN ST,MA,CLOSED,Officers dispatched to a report of two unwanted guest. Officers arrived and report one of the individuals had already left and the other individual was sent on their way.
2012-0007628,6/5/12,6/5/2012  3:37:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,ADAMS HOUSE A 45 BOW ST,MA,CLOSED,Officer dispatched to a report of two individuals on the roof of the building. Officer reports the individuals were working replacing the screens and all was in order.
2012-0007632,6/5/12,6/5/2012  7:56:00PM,UNWANTED GUEST,Suspicious activity,WESTENGAARD HOUSE 3 GARDEN ST,MA,CLOSED,Officers dispatched to a report of an unwanted guest. Officers arrived and sent the individual on their way.
2012-0007646,6/6/12,6/6/2012  7:39:00AM,UNWANTED GUEST,Suspicious activity,AGASSIZ THEATRE 14 MASON ST,MA,CLOSED,Officers dispatched to a report of individuals sleeping by the building. Officers arrived and sent the individuals on their way.
2012-0007649,6/6/12,6/6/2012  8:25:00AM,ASSIST CAMBRIDGE POLICE,Other,MALLINCKRODT LAB 12 OXFORD ST,MA,CLOSED,Officer assisted CPD in locating an individual that needed to move their motor vehicle.
2012-0007652,6/6/12,6/6/2012  9:15:00AM,UNWANTED GUEST,Suspicious activity,AU BON PAIN 1360 MASSACHUSETTS AVE,MA,CLOSED,Officers dispatched to a report of unwanted guests in the area. Officers arrived and report the individuals are gone on arrival.
2012-0007664,6/6/12,6/1/2012 To 6/4/2012 3:00:00PM To  8:45:00AM,LOST PROPERTY,Theft,TOSTESON MEC 260 LONGWOOD AVE,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured red purse valued at $20.00 that contained credit cards and keys.
Update 6/20/12: The individual reported that they were unsure where their property was at the time and that they may have lost their property at another location. This incident has been reclassified from theft report to lost property and is closed pending any further information."
2012-0007666,6/6/12,6/6/2012  3:20:00PM,SKATEBOARD/BIKE COMPLAINT,Suspicious activity,MATHER HOUSE A 93 BANKS ST,MA,CLOSED,Officer reports removing four individuals that were skateboarding from the area.
2012-0007672,6/6/12,6/4/2012  4:30:00PM To 11:00:00PM,THEFT REPORT,Theft,CABOT HOUSE N 60 LINNAEAN ST,MA,CLOSED,Officer dispatched to take a report of a theft. Officer arrived and spoke to the reporting party who stated upon arrival they observed their light green Raleigh mountain bicycle valued at $125.00 had been stolen and their U-lock bicycle lock had been cut and left on the ground. There were no suspicious individuals seen in the area at the time of the theft.
2012-0007692,6/7/12,5/24/2012 To 5/25/201210:30:00PM To 12:15:00AM,THEFT REPORT,Theft,WINTHROP HOUSE A 32 MILL ST,MA,CLOSED,"Officer dispatched to take a report of a stolen unattended and unsecured Nikon D7000 camera valued at $2050.00, a camera memory card valued at $15.00 and a pair of sunglasses valued at $30.00."
2012-0007696,6/7/12,6/6/2012 To 6/7/2012 7:00:00PM To  8:00:00AM,VANDALISM,Suspicious activity,LOEB HOUSE 17 QUINCY ST,MA,CLOSED,Officer dispatched to take a report of a broken window.
2012-0007699,6/7/12,6/7/2012  9:50:00AM,HAZARDOUS CONDITION,Other,GREENLEAF HOUSE 76 BRATTLE ST,MA,CLOSED,Officer dispatched to a report of a needle found in the area. Officer arrived and reports the item was disposed of.
2012-0007700,6/7/12,6/7/2012 10:04:00AM,ASSIST CAMBRIDGE POLICE,Other, 27 BRATTLE ST,MA,CLOSED,"Officer dispatched to assist CPD with taking a report of a theft. The reporting individual informed the officer that a backpack, a laptop, an iPad and a purse were stolen. The reporting individual informed that the backpack was recovered at another location.
UPDATE 6/18/12: This report has been reclassified from Theft Report to Assist CPD. The property has also been updated."
2012-0007703,6/7/12,6/1/2012 To 6/7/2012 6:27:00PM To 10:20:00AM,THEFT REPORT,Theft,PEABODY TERRACE 11 900 MEMORIAL DR,MA,CLOSED,Officer dispatched to take a report of a stolen package that contained a green leather bag valued at $400.00.
2012-0007707,6/7/12,6/7/2012 11:38:00AM,ASSIST CAMBRIDGE POLICE,Other, MASSACHUSETTS AVE / WENDELL ST,MA,CLOSED,Officer assisted CPD with an individual who was not allowed in the building. Officers report the individual left on their own accord and all was in order.
2012-0007714,6/7/12,6/7/2012 10:25:00AM To  4:05:00PM,MOTOR VEHICLE ACCIDENT,Other,BUSINESS SCHOOL LOT 112 WESTERN AVE,MA,CLOSED,Officer dispatched to take a report of a motor vehicle accident with no personal injuries. The individual informed the officer they parked their vehicle and upon their return observed scratches along the passenger side of their vehicle.
2012-0007717,6/7/12,4/1/2012 To 6/6/2012 6:02:00PM To 12:09:00PM,SUSPICIOUS ACTIVITY,Suspicious activity,NRB NEW RESEARCH BUILDING 77 AVE LOUIS PASTEUR,MA,CLOSED,Officer dispatched to take a report that a suspicious individual comes to events that they are not registered to be at and takes food. Officer advised the reporting individual to contact the HUPD if the individual returns.
